corr,orbi,zygo,iscr,ampsum,nscr,wf,treatm,pic,person,sex,order,empathy,picsex,picsmile
1.273898823,4.98729794,2.163673216,0.206378,0.018632,2,inq,inq,1,8,f,18,69,m,y
1.135241542,4.840603915,1.732414054,0.030542,0.007317,3,inq,inq,2,8,f,9,69,m,y
1.151290925,4.860090101,1.97273262,0.101052,0,0,inq,inq,3,8,f,22,69,f,n
0.873416586,5.294168639,1.163307168,0.239021,0.019719,1,inq,inq,4,8,f,7,69,f,y
1.048451159,4.949585901,1.525202471,0.235606,0.0439,3,inq,inq,5,8,f,15,69,m,n
1.191865871,5.163103792,1.213823308,0.091385,0,0,inq,inq,6,8,f,26,69,f,n
1.018636298,4.936851955,1.213338393,0.139725,0.014551,1,inq,inq,7,8,f,25,69,m,y
1.140143083,5.381271497,1.962118783,0.040134,0.008875,4,inq,inq,8,8,f,13,69,f,y
1.380012311,4.562815071,0.89797697,0.002426,0,0,inq,inq,9,8,f,4,69,m,y
1.03540674,5.239438052,1.234457429,0.163981,0.02026,2,inq,inq,10,8,f,20,69,m,n
0.96237735,5.445734246,1.543095372,0.051721,0.006772,1,inq,inq,11,8,f,16,69,f,y
1.033534853,5.521381808,1.447829053,0.001083,0.001001,2,inq,inq,12,8,f,21,69,m,n
0.981473535,5.145496974,1.531197367,0.021389,0.003318,1,inq,inq,13,8,f,19,69,f,y
0.979617128,5.782671909,1.163509482,0.214926,0.010465,1,inq,inq,14,8,f,11,69,m,y
1.462107686,5.150741963,2.185903202,0.020703,0.004055,1,inq,inq,15,8,f,12,69,m,y
1.062177509,5.187336017,1.977767304,0.016086,0.003198,9,inq,inq,16,8,f,8,69,f,y
1.226597342,5.108489786,2.843665526,0.340326,0,0,inq,inq,17,8,f,24,69,m,y
1.635669302,3.852601794,5.461196663,0.050563,0.009986,1,inq,inq,18,8,f,10,69,f,y
0.978266217,5.623476366,1.418940677,0,0,0,inq,inq,19,8,f,23,69,m,n
0.898065364,5.087744023,1.356855808,0,0,0,inq,inq,20,8,f,14,69,f,y
1.404484726,5.252428541,2.851281448,0,0,0,inq,inq,21,8,f,6,69,m,y
1.076744214,4.926606195,1.231060386,0.000384,0,8,inq,inq,22,8,f,1,69,f,y
1.298450311,5.660572795,3.468698679,0.175335,0.020662,2,inq,inq,23,8,f,5,69,m,n
1.031268774,5.485749979,1.170802583,0.108502,0.025287,4,inq,inq,24,8,f,2,69,f,y
1.146994009,5.203628127,1.80669308,0.008305,0,0,inq,inq,25,8,f,17,69,f,n
0.994749745,5.218814306,1.583246991,0.017721,0.002695,6,inq,inq,26,8,f,3,69,f,y
1.534666298,5.764243714,1.125988339,0.217425,0.015227,1,inq,adv,1,8,f,14,69,m,y
